,reward mean,reward std,unsafe states found,attack
AntBulletEnv-v0/a2c_norm,2275.4092027881516,78.21452596079943,0.0,
AntBulletEnv-v0/ppo2_norm,2203.9504327066047,154.26291913609757,0.0,
HalfCheetahBulletEnv-v0/a2c_norm,2193.8134657928763,84.030010043305,0.0,
HalfCheetahBulletEnv-v0/ppo2_norm_tw,2961.0096835043805,199.14454370674383,0.0,
HopperBulletEnv-v0/a2c_norm,1303.1789153555467,1072.9866053448343,0.0,
HopperBulletEnv-v0/ppo2_norm,1701.8381715163111,954.2790325671937,0.0,
HumanoidBulletEnv-v0/ppo2_norm,566.9492271635968,1721.2217480164952,0.0,
AntBulletEnv-v0/a2c_norm,668.5418217587358,102.15894268739432,0.0,MAD-FGSM
AntBulletEnv-v0/ppo2_norm,833.033550688892,87.17270568953727,0.0,MAD-FGSM
HalfCheetahBulletEnv-v0/a2c_norm,2198.4446884721765,90.91108873507595,0.0,MAD-FGSM
HalfCheetahBulletEnv-v0/ppo2_norm_tw,2952.7064686399704,198.30828520175703,0.0,MAD-FGSM
HopperBulletEnv-v0/a2c_norm,1263.5632380730915,1092.1577547241122,0.0,MAD-FGSM
HopperBulletEnv-v0/ppo2_norm,1682.0899499819354,996.2022951927319,0.0,MAD-FGSM
HumanoidBulletEnv-v0/ppo2_norm,253.27323986954698,73.36457979562607,0.0,MAD-FGSM
AntBulletEnv-v0/a2c_norm,747.7392340241281,61.51271045373545,0.0,MAD-PGD
AntBulletEnv-v0/ppo2_norm,1560.9705156732225,255.38518676153384,0.0,MAD-PGD
HalfCheetahBulletEnv-v0/a2c_norm,2197.209050697773,83.77372016325496,0.0,MAD-PGD
HalfCheetahBulletEnv-v0/ppo2_norm_tw,2945.853646206936,207.17103532249476,0.0,MAD-PGD
HopperBulletEnv-v0/a2c_norm,1272.489944420102,1074.1951609980645,0.0,MAD-PGD
HopperBulletEnv-v0/ppo2_norm,1645.989121445836,1028.3230561773287,0.0,MAD-PGD
HumanoidBulletEnv-v0/ppo2_norm,259.93807073314673,73.00625889816195,0.0,MAD-PGD
